epoch,train_loss,val_mean_mae,val_mean_rmse,val_mean_r2,val_pooled_r2,lr,last_grad_norm,improved,epochs_without_improvement
1,0.34408310188778807,0.2190858554840088,0.2619731190269544,-4.076828751564026,0.5479417443275452,0.0005,0.42369306087493896,True,0
2,0.12816296025578464,0.24070295050740242,0.28348941598986693,-3.9508532071113587,0.415597140789032,0.0005,0.4382639527320862,False,1
3,0.0969108650627147,0.284372501373291,0.32389358637224336,-7.208418114185333,0.03731578588485718,0.0005,0.40966060757637024,False,2
4,0.11211147962603718,0.2620366209745407,0.3011349689017307,-5.42908842086792,0.4412376880645752,0.0005,0.3717013895511627,False,3
5,0.0986723774112761,0.21995158314704896,0.26206371693639585,-3.426627190113068,0.5084806680679321,0.0005,0.24775248765945435,False,4
6,0.10388521991470563,0.19787542670965194,0.23829959232563858,-4.133198356628418,0.7996994256973267,0.0005,7.862985134124756,True,0
7,0.08696019978794668,0.16379407688975334,0.20674686776064413,-0.8854879355430603,0.8326640129089355,0.0005,0.17680391669273376,True,0
8,0.07959885236674122,0.1451171661913395,0.1884740310290724,-0.6091805744171143,0.863802433013916,0.0005,0.7765503525733948,True,0
9,0.07408577963776354,0.19227940693497658,0.23640646002073018,-1.6197686362266541,0.7016699314117432,0.0005,0.5728015899658203,False,1
10,0.0721228314630155,0.1770087742805481,0.21871242042518374,-0.9640380406379699,0.797684907913208,0.0005,0.41703566908836365,False,2
11,0.06708598709000009,0.18165138870477676,0.22347022598964159,-1.6883266878128051,0.8188326954841614,0.0005,0.8821897506713867,False,3
12,0.06490323566166419,0.15377794459462166,0.1981193206091964,-0.6110496807098389,0.8490170836448669,0.0005,0.30624860525131226,False,4
13,0.07123210417505886,0.14873601928353308,0.19159032154230407,-1.40563339471817,0.8728448748588562,0.00025,0.7993393540382385,False,5
14,0.06448906994358237,0.1480731500685215,0.19359307074516743,-0.7456824588775635,0.8530424237251282,0.00025,0.1519635170698166,False,6
15,0.05933074397034943,0.13802213296294213,0.18174493547868334,-0.5050053715705871,0.8717350959777832,0.00025,1.2475802898406982,True,0
16,0.059627155864810835,0.1482520991563797,0.1923829037344052,-0.6983103966712951,0.8538801670074463,0.00025,0.18281272053718567,False,1
17,0.058077694182949405,0.1556681936979294,0.1996098001465938,-0.6476057291030883,0.838211178779602,0.00025,0.5634455680847168,False,2
18,0.057619953710984974,0.142744070738554,0.18758453020671037,-0.6645525288581848,0.8632749319076538,0.00025,0.14042723178863525,False,3
19,0.057469406664105396,0.1584310920536518,0.2014530811128186,-0.8934455347061158,0.8365356922149658,0.00025,1.612630009651184,False,4
20,0.05596919179827507,0.1530508007109165,0.19932233674429362,-0.614878261089325,0.8370345234870911,0.000125,0.7470567226409912,False,5
21,0.05504690799196916,0.1493023918569088,0.1933097782270653,-0.667552056312561,0.8536332845687866,0.000125,0.49495255947113037,False,6
22,0.05276515584305993,0.13901880770921707,0.18543729526101532,-0.5750391554832458,0.8658881783485413,0.000125,0.7064540982246399,False,7
23,0.05272170655994809,0.14120221003890038,0.18703679736159018,-0.6032347464561463,0.8652928471565247,0.000125,0.14993520081043243,False,8
24,0.05352785170543939,0.14331312656402587,0.18937295689920078,-0.529281964302063,0.8587112426757812,0.000125,0.6566115617752075,False,9
25,0.05297545117459127,0.14316953882575034,0.18813710880715917,-0.5195908832550049,0.8607043027877808,6.25e-05,0.905474841594696,False,10
